seq,mode,x,y,z,xo,yo,zo
0,0,32768,0,-65536,-32767,-230,-147
1,0,32768,0,-65504,-32767,-230,-115
2,0,32768,0,-65472,-32767,-230,-83
3,0,32768,0,-65440,-32767,-230,-51
4,0,32768,0,-65408,-32767,-230,-19
5,0,32768,0,-65376,-32767,-230,13
6,0,32768,0,-65344,-32767,-230,45
7,0,32768,0,-65312,-32767,-230,77
8,0,32768,0,-65280,-32767,-230,109
9,0,32768,0,-65248,-32767,-230,141
10,0,32768,0,-65216,-32760,-742,-152
11,0,32768,0,-65184,-32760,-742,-120
12,0,32768,0,-65152,-32760,-742,-88
13,0,32768,0,-65120,-32760,-742,-56
14,0,32768,0,-65088,-32760,-742,-24
15,0,32768,0,-65056,-32760,-742,8
16,0,32768,0,-65024,-32760,-742,40
17,0,32768,0,-64992,-32760,-742,72
18,0,32768,0,-64960,-32760,-742,104
19,0,32768,0,-64928,-32760,-742,136
20,0,32768,0,-64896,-32744,-1253,-158
21,0,32768,0,-64864,-32744,-1253,-126
22,0,32768,0,-64832,-32744,-1253,-94
23,0,32768,0,-64800,-32744,-1253,-62
24,0,32768,0,-64768,-32744,-1253,-30
25,0,32768,0,-64736,-32744,-1253,2
26,0,32768,0,-64704,-32744,-1253,34
27,0,32768,0,-64672,-32744,-1253,66
28,0,32768,0,-64640,-32744,-1253,98
29,0,32768,0,-64608,-32744,-1253,130
30,0,32768,0,-64576,-32744,-1253,162
31,0,32768,0,-64544,-32721,-1765,-132
32,0,32768,0,-64512,-32721,-1765,-100
33,0,32768,0,-64480,-32721,-1765,-68
34,0,32768,0,-64448,-32721,-1765,-36
35,0,32768,0,-64416,-32721,-1765,-4
36,0,32768,0,-64384,-32721,-1765,28
37,0,32768,0,-64352,-32721,-1765,60
38,0,32768,0,-64320,-32721,-1765,92
39,0,32768,0,-64288,-32721,-1765,124
40,0,32768,0,-64256,-32721,-1765,156
41,0,32768,0,-64224,-32689,-2276,-138
42,0,32768,0,-64192,-32689,-2276,-106
43,0,32768,0,-64160,-32689,-2276,-74
44,0,32768,0,-64128,-32689,-2276,-42
45,0,32768,0,-64096,-32689,-2276,-10
46,0,32768,0,-64064,-32689,-2276,22
47,0,32768,0,-64032,-32689,-2276,54
48,0,32768,0,-64000,-32689,-2276,86
49,0,32768,0,-63968,-32689,-2276,118
50,0,32768,0,-63936,-32689,-2276,150
51,0,32768,0,-63904,-32653,-2750,-121
52,0,32768,0,-63872,-32653,-2750,-89
53,0,32768,0,-63840,-32653,-2750,-57
54,0,32768,0,-63808,-32653,-2750,-25
55,0,32768,0,-63776,-32653,-2750,7
56,0,32768,0,-63744,-32653,-2750,39
57,0,32768,0,-63712,-32653,-2750,71
58,0,32768,0,-63680,-32653,-2750,103
59,0,32768,0,-63648,-32653,-2750,135
60,0,32768,0,-63616,-32606,-3260,-159
61,0,32768,0,-63584,-32606,-3260,-127
62,0,32768,0,-63552,-32606,-3260,-95
63,0,32768,0,-63520,-32606,-3260,-63
64,0,32768,0,-63488,-32606,-3260,-31
65,0,32768,0,-63456,-32606,-3260,1
66,0,32768,0,-63424,-32606,-3260,33
67,0,32768,0,-63392,-32606,-3260,65
68,0,32768,0,-63360,-32606,-3260,97
69,0,32768,0,-63328,-32606,-3260,129
70,0,32768,0,-63296,-32606,-3260,161
71,0,32768,0,-63264,-32551,-3769,-133
72,0,32768,0,-63232,-32551,-3769,-101
73,0,32768,0,-63200,-32551,-3769,-69
74,0,32768,0,-63168,-32551,-3769,-37
75,0,32768,0,-63136,-32551,-3769,-5
76,0,32768,0,-63104,-32551,-3769,27
77,0,32768,0,-63072,-32551,-3769,59
78,0,32768,0,-63040,-32551,-3769,91
79,0,32768,0,-63008,-32551,-3769,123
80,0,32768,0,-62976,-32551,-3769,155
81,0,32768,0,-62944,-32488,-4277,-139
82,0,32768,0,-62912,-32488,-4277,-107
83,0,32768,0,-62880,-32488,-4277,-75
84,0,32768,0,-62848,-32488,-4277,-43
85,0,32768,0,-62816,-32488,-4277,-11
86,0,32768,0,-62784,-32488,-4277,21
87,0,32768,0,-62752,-32488,-4277,53
88,0,32768,0,-62720,-32488,-4277,85
89,0,32768,0,-62688,-32488,-4277,117
90,0,32768,0,-62656,-32488,-4277,149
91,0,32768,0,-62624,-32417,-4784,-144
92,0,32768,0,-62592,-32417,-4784,-112
93,0,32768,0,-62560,-32417,-4784,-80
94,0,32768,0,-62528,-32417,-4784,-48
95,0,32768,0,-62496,-32417,-4784,-16
96,0,32768,0,-62464,-32417,-4784,16
97,0,32768,0,-62432,-32417,-4784,48
98,0,32768,0,-62400,-32417,-4784,80
99,0,32768,0,-62368,-32417,-4784,112
100,0,32768,0,-62336,-32417,-4784,144
101,0,32768,0,-62304,-32338,-5290,-150
102,0,32768,0,-62272,-32338,-5290,-118
103,0,32768,0,-62240,-32338,-5290,-86
104,0,32768,0,-62208,-32338,-5290,-54
105,0,32768,0,-62176,-32338,-5290,-22
106,0,32768,0,-62144,-32338,-5290,10
107,0,32768,0,-62112,-32338,-5290,42
108,0,32768,0,-62080,-32338,-5290,74
109,0,32768,0,-62048,-32338,-5290,106
110,0,32768,0,-62016,-32338,-5290,138
111,0,32768,0,-61984,-32252,-5794,-156
112,0,32768,0,-61952,-32252,-5794,-124
113,0,32768,0,-61920,-32252,-5794,-92
114,0,32768,0,-61888,-32252,-5794,-60
115,0,32768,0,-61856,-32252,-5794,-28
116,0,32768,0,-61824,-32252,-5794,4
117,0,32768,0,-61792,-32252,-5794,36
118,0,32768,0,-61760,-32252,-5794,68
119,0,32768,0,-61728,-32252,-5794,100
120,0,32768,0,-61696,-32252,-5794,132
121,0,32768,0,-61664,-32157,-6297,-162
122,0,32768,0,-61632,-32157,-6297,-130
123,0,32768,0,-61600,-32157,-6297,-98
124,0,32768,0,-61568,-32157,-6297,-66
125,0,32768,0,-61536,-32157,-6297,-34
126,0,32768,0,-61504,-32157,-6297,-2
127,0,32768,0,-61472,-32157,-6297,30
128,0,32768,0,-61440,-32157,-6297,62
129,0,32768,0,-61408,-32157,-6297,94
130,0,32768,0,-61376,-32157,-6297,126
131,0,32768,0,-61344,-32157,-6297,158
132,0,32768,0,-61312,-32056,-6794,-133
133,0,32768,0,-61280,-32056,-6794,-101
134,0,32768,0,-61248,-32056,-6794,-69
135,0,32768,0,-61216,-32056,-6794,-37
136,0,32768,0,-61184,-32056,-6794,-5
137,0,32768,0,-61152,-32056,-6794,27
138,0,32768,0,-61120,-32056,-6794,59
139,0,32768,0,-61088,-32056,-6794,91
