seq,mode,x,y,z,xo,yo,zo
0,0,32768,0,-65536,-32768,10,6
1,0,32768,0,-65504,-32768,-54,-3
2,0,32768,0,-65472,-32768,-86,9
3,0,32768,0,-65440,-32768,-150,0
4,0,32768,0,-65408,-32767,-214,-9
5,0,32768,0,-65376,-32767,-246,3
6,0,32768,0,-65344,-32767,-310,-6
7,0,32768,0,-65312,-32766,-342,6
8,0,32768,0,-65280,-32765,-406,-3
9,0,32768,0,-65248,-32765,-438,9
10,0,32768,0,-65216,-32764,-502,1
11,0,32768,0,-65184,-32763,-566,-8
12,0,32768,0,-65152,-32763,-598,3
13,0,32768,0,-65120,-32761,-662,-5
14,0,32768,0,-65088,-32761,-694,6
15,0,32768,0,-65056,-32759,-758,-2
16,0,32768,0,-65024,-32759,-790,9
17,0,32768,0,-64992,-32757,-854,0
18,0,32768,0,-64960,-32755,-918,-8
19,0,32768,0,-64928,-32754,-950,3
20,0,32768,0,-64896,-32753,-1014,-5
21,0,32768,0,-64864,-32751,-1046,6
22,0,32768,0,-64832,-32749,-1110,-3
23,0,32768,0,-64800,-32748,-1142,9
24,0,32768,0,-64768,-32746,-1206,0
25,0,32768,0,-64736,-32744,-1269,-8
26,0,32768,0,-64704,-32742,-1301,3
27,0,32768,0,-64672,-32740,-1365,-6
28,0,32768,0,-64640,-32738,-1397,6
29,0,32768,0,-64608,-32735,-1461,-3
30,0,32768,0,-64576,-32734,-1493,9
31,0,32768,0,-64544,-32731,-1557,0
32,0,32768,0,-64512,-32728,-1621,-8
33,0,32768,0,-64480,-32726,-1653,3
34,0,32768,0,-64448,-32723,-1717,-6
35,0,32768,0,-64416,-32721,-1749,6
36,0,32768,0,-64384,-32718,-1813,-3
37,0,32768,0,-64352,-32716,-1845,9
38,0,32768,0,-64320,-32712,-1909,0
39,0,32768,0,-64288,-32708,-1973,-9
40,0,32768,0,-64256,-32706,-2005,3
41,0,32768,0,-64224,-32703,-2068,-6
42,0,32768,0,-64192,-32701,-2100,6
43,0,32768,0,-64160,-32696,-2164,-3
44,0,32768,0,-64128,-32694,-2196,9
45,0,32768,0,-64096,-32690,-2260,0
46,0,32768,0,-64064,-32685,-2324,-9
47,0,32768,0,-64032,-32683,-2356,3
48,0,32768,0,-64000,-32678,-2420,-6
49,0,32768,0,-63968,-32676,-2452,6
50,0,32768,0,-63936,-32671,-2515,-3
51,0,32768,0,-63904,-32667,-2575,-9
52,0,32768,0,-63872,-32664,-2607,3
53,0,32768,0,-63840,-32659,-2670,-6
54,0,32768,0,-63808,-32657,-2702,6
55,0,32768,0,-63776,-32651,-2766,-3
56,0,32768,0,-63744,-32648,-2798,9
57,0,32768,0,-63712,-32643,-2862,0
58,0,32768,0,-63680,-32637,-2926,-9
59,0,32768,0,-63648,-32634,-2957,3
60,0,32768,0,-63616,-32629,-3021,-6
61,0,32768,0,-63584,-32626,-3053,6
62,0,32768,0,-63552,-32619,-3117,-3
63,0,32768,0,-63520,-32616,-3149,8
64,0,32768,0,-63488,-32610,-3212,0
65,0,32768,0,-63456,-32604,-3276,-9
66,0,32768,0,-63424,-32601,-3308,3
67,0,32768,0,-63392,-32594,-3372,-6
68,0,32768,0,-63360,-32591,-3403,5
69,0,32768,0,-63328,-32584,-3467,-3
70,0,32768,0,-63296,-32581,-3499,8
71,0,32768,0,-63264,-32574,-3562,0
72,0,32768,0,-63232,-32567,-3626,-9
73,0,32768,0,-63200,-32563,-3658,3
74,0,32768,0,-63168,-32556,-3721,-6
75,0,32768,0,-63136,-32552,-3753,5
