seq,mode,x,y,z,xo,yo,zo
0,0,32768,0,-65536,-32768,1,0
1,0,32768,0,-65504,-32768,-49,0
2,0,32768,0,-65472,-32768,-101,-1
3,0,32768,0,-65440,-32768,-151,0
4,0,32768,0,-65408,-32767,-201,0
5,0,32768,0,-65376,-32767,-251,0
6,0,32768,0,-65344,-32767,-301,0
7,0,32768,0,-65312,-32766,-351,0
8,0,32768,0,-65280,-32765,-401,0
9,0,32768,0,-65248,-32765,-451,1
10,0,32768,0,-65216,-32764,-503,0
11,0,32768,0,-65184,-32764,-553,0
12,0,32768,0,-65152,-32763,-603,0
13,0,32768,0,-65120,-32762,-653,0
14,0,32768,0,-65088,-32761,-703,1
15,0,32768,0,-65056,-32759,-755,-1
16,0,32768,0,-65024,-32758,-805,0
17,0,32768,0,-64992,-32757,-855,0
18,0,32768,0,-64960,-32755,-905,0
19,0,32768,0,-64928,-32754,-955,0
20,0,32768,0,-64896,-32753,-1005,0
21,0,32768,0,-64864,-32751,-1055,0
22,0,32768,0,-64832,-32749,-1105,1
23,0,32768,0,-64800,-32748,-1157,0
24,0,32768,0,-64768,-32746,-1207,0
25,0,32768,0,-64736,-32744,-1256,0
26,0,32768,0,-64704,-32742,-1306,0
27,0,32768,0,-64672,-32740,-1356,0
28,0,32768,0,-64640,-32738,-1406,0
29,0,32768,0,-64608,-32736,-1456,0
30,0,32768,0,-64576,-32733,-1508,-1
31,0,32768,0,-64544,-32731,-1558,0
32,0,32768,0,-64512,-32729,-1608,0
33,0,32768,0,-64480,-32726,-1658,0
34,0,32768,0,-64448,-32723,-1708,0
35,0,32768,0,-64416,-32721,-1758,0
36,0,32768,0,-64384,-32718,-1808,0
37,0,32768,0,-64352,-32715,-1860,-1
38,0,32768,0,-64320,-32712,-1910,0
39,0,32768,0,-64288,-32709,-1960,0
40,0,32768,0,-64256,-32706,-2010,0
41,0,32768,0,-64224,-32703,-2059,0
42,0,32768,0,-64192,-32700,-2109,0
43,0,32768,0,-64160,-32697,-2159,0
44,0,32768,0,-64128,-32693,-2209,1
45,0,32768,0,-64096,-32690,-2261,-1
46,0,32768,0,-64064,-32686,-2311,0
47,0,32768,0,-64032,-32683,-2361,0
48,0,32768,0,-64000,-32679,-2411,0
49,0,32768,0,-63968,-32675,-2461,0
50,0,32768,0,-63936,-32671,-2510,0
51,0,32768,0,-63904,-32668,-2562,-1
52,0,32768,0,-63872,-32664,-2612,0
53,0,32768,0,-63840,-32660,-2661,0
54,0,32768,0,-63808,-32656,-2711,0
55,0,32768,0,-63776,-32652,-2761,0
56,0,32768,0,-63744,-32647,-2811,0
57,0,32768,0,-63712,-32643,-2861,0
58,0,32768,0,-63680,-32639,-2911,1
59,0,32768,0,-63648,-32634,-2962,0
60,0,32768,0,-63616,-32629,-3012,0
61,0,32768,0,-63584,-32625,-3062,0
62,0,32768,0,-63552,-32620,-3112,0
63,0,32768,0,-63520,-32615,-3162,0
64,0,32768,0,-63488,-32610,-3211,0
65,0,32768,0,-63456,-32606,-3261,0
66,0,32768,0,-63424,-32600,-3313,-1
67,0,32768,0,-63392,-32595,-3363,0
68,0,32768,0,-63360,-32590,-3412,0
69,0,32768,0,-63328,-32585,-3462,0
70,0,32768,0,-63296,-32579,-3512,0
71,0,32768,0,-63264,-32574,-3561,0
72,0,32768,0,-63232,-32569,-3611,0
73,0,32768,0,-63200,-32563,-3663,-1
74,0,32768,0,-63168,-32557,-3712,0
75,0,32768,0,-63136,-32551,-3762,0
76,0,32768,0,-63104,-32546,-3812,0
77,0,32768,0,-63072,-32540,-3862,0
78,0,32768,0,-63040,-32534,-3911,0
79,0,32768,0,-63008,-32528,-3961,0
80,0,32768,0,-62976,-32522,-4011,1
81,0,32768,0,-62944,-32515,-4062,-1
82,0,32768,0,-62912,-32509,-4112,0
83,0,32768,0,-62880,-32503,-4161,0
84,0,32768,0,-62848,-32496,-4211,0
85,0,32768,0,-62816,-32490,-4260,0
86,0,32768,0,-62784,-32483,-4310,0
87,0,32768,0,-62752,-32477,-4359,0
88,0,32768,0,-62720,-32470,-4409,1
89,0,32768,0,-62688,-32463,-4461,-1
90,0,32768,0,-62656,-32456,-4510,0
91,0,32768,0,-62624,-32449,-4559,0
92,0,32768,0,-62592,-32442,-4608,0
93,0,32768,0,-62560,-32436,-4658,1
94,0,32768,0,-62528,-32428,-4709,0
95,0,32768,0,-62496,-32421,-4759,0
96,0,32768,0,-62464,-32413,-4808,0
97,0,32768,0,-62432,-32406,-4858,0
98,0,32768,0,-62400,-32398,-4908,0
99,0,32768,0,-62368,-32391,-4957,0
100,0,32768,0,-62336,-32383,-5006,0
101,0,32768,0,-62304,-32376,-5058,-1
102,0,32768,0,-62272,-32368,-5107,0
103,0,32768,0,-62240,-32360,-5156,0
104,0,32768,0,-62208,-32352,-5206,0
105,0,32768,0,-62176,-32344,-5255,0
106,0,32768,0,-62144,-32336,-5305,0
107,0,32768,0,-62112,-32328,-5354,0
108,0,32768,0,-62080,-32319,-5403,1
